"filename", "language", "JSON", "TypeScript", "SCSS", "TypeScript JSX", "XML", "Markdown", "HTML", "Properties", "JavaScript", "comment", "blank", "total"
"d:\web\2023\my\learnmate\src\scss\index.scss", "SCSS", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\web\2023\my\learnmate\src\scss\mixins.scss", "SCSS", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 18, 127
"d:\web\2023\my\learnmate\src\scss\reset.scss", "SCSS", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 7, 50
"d:\web\2023\my\learnmate\src\scss\style.scss", "SCSS", 0, 0, 746, 0, 0, 0, 0, 0, 0, 8, 143, 897
"d:\web\2023\my\learnmate\src\services\createClient.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\web\2023\my\learnmate\src\store\reducers\ActionCreators.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\web\2023\my\learnmate\src\store\reducers\LessonsSlice.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 8, 66
"d:\web\2023\my\learnmate\src\store\reducers\ModalSlice.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"d:\web\2023\my\learnmate\src\store\reducers\StudentsSlice.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"d:\web\2023\my\learnmate\src\store\reducers\UserSlice.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\web\2023\my\learnmate\src\store\store.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\web\2023\my\learnmate\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"d:\web\2023\my\learnmate\temp.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\web\2023\my\learnmate\tsconfig.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"d:\web\2023\my\learnmate\tsconfig.node.json", "JSON", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\web\2023\my\learnmate\vite.config.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"Total", "-", 11400, 327, 1721, 1802, 66, 1, 28, 3, 18, 82, 788, 16236
